*title~year~publisher,*genre,*platform,*game_store,&title~#genre,&title~&platform,&title~&game_store~price
Minecraft~2009~Mojan Studios,Sandbox,playstation,steam,Minecraft~sandbox~survival,Minecraft~playstation~pc~xbox~nintendo~android,Minecraft~minecraft store~149~xbox store~199~playstation store~179
Grand Theft Auto V~2013~Rockstar Games,Survival,xbox,xbox store,Grand Theft Auto V~action~adventure,Grand Theft Auto V~playstation~pc~xbox,Grand Theft Auto V~steam~399~playstation store~429~xbox store~429~spelbutiken~379
Elden Ring~2022~Bandai Namco Entertainment,Adventure,pc,playstation store,Elden Ring~action-role-playing,Elden Ring~pc~xbox~playstation,Elden Ring~xbox store~599~steam~599~playstation~599~spelbutiken~599
The Elder Scrolls V: Skyrim~2011~Bethesda Softworks,action,nintendo,spelbutiken,The Elder Scrolls V: Skyrim~action-role-playing,The Elder Scrolls V: Skyrim~pc~xbox~playstation~android~nintendo,The Elder Scrolls V: Skyrim~bethesda store~369~steam~379~playstation store~349~xbox store~349
Gears 5~2019~Xbox Game Studios,Third-Person Shooter,android,bethesda store,Gears 5~third-person Shooter,Gears 5~PC~xbox,Gears 5~Gears 5~xbox store~399~steam~379
The witcher 3~2015~CD Projekt,Action-Role-Playing,,minecraft store,The witcher 3~action-role-playing,The witcher 3~pc~xbox~playstation~nintendo,The witcher 3~steam~299~playstation store~329~xbox store~329~spelbutiken~299
Borderlands 2~2012~2K Games,sports,,,Borderlands 2~action-role-playing~first-person Shooter,Borderlands 2~pc~xbox~playstation~nintendo~android,Borderlands 2~steam~199~playstation store~199~ xbox store~199~spelbutiken~189
FIFA 22~2021~EA Sports,first-person Shooter,,,FIFA 22~sports,FIFA 22~pc~nintendo~xbox~playstation,FIFA 22~playstation store~599~xbox store~599~steam~499~spelbutiken~599
God of War~2018~Santa Monica Studio,,,,God of War~action-role-playing~adventure,God of War~pc~playstation,God of War~steam~329~playstation store~399~spelbutiken~359
The Last Guardian~2016~Japan Studio GenDesign,,,,The Last Guardian~adventure,The Last Guardian~playstation,The Last Guardian~spelbutiken~349~playstation store~399
